FaceID,strip,strip_num,x,y,z
189,1,9,0.036591272,-0.997574814,-0.059207847
198,1,18,-0.098727848,-0.993241977,-0.061017926
199,1,19,-0.036591265,-0.997574814,0.059207847
201,1,21,-0.171660656,-0.983374795,0.059216814
202,1,22,-0.2386717,-0.969099548,-0.062304785
211,1,31,-0.37653365,-0.924305426,-0.062304822
212,1,32,-0.308463276,-0.949355001,0.059795396
218,1,38,-0.439135607,-0.896467109,0.059216907
219,1,39,-0.503941418,-0.861579855,-0.061018031
227,1,47,-0.615964324,-0.785545905,-0.059207958
228,1,48,-0.556756391,-0.828563054,0.059207988
236,1,56,-0.663686368,-0.745518083,0.061017973
237,1,57,-0.716892067,-0.69466476,-0.059216859
246,1,66,-0.807571734,-0.586730277,-0.059795283
247,1,67,-0.762713652,-0.64372821,0.062304702
256,1,76,-0.847917159,-0.526454776,0.06230458
257,1,77,-0.882200805,-0.467135025,-0.059216618
266,1,86,-0.937444065,-0.343064268,-0.059207539
267,1,87,-0.914122606,-0.400820047,0.061017626
276,1,96,-0.960058597,-0.273462913,0.059207481
277,1,97,-0.975138435,-0.21303026,-0.061017549
286,1,106,-0.995422136,-0.072477191,-0.06230431
287,1,107,-0.988291518,-0.140617575,0.059216317
297,1,117,-0.998210688,-6.44E-09,0.059794832
298,1,118,-0.995422137,0.072477181,-0.06230432
307,1,127,-0.975138439,0.213030242,-0.061017554
308,1,128,-0.988291518,0.140617575,0.059216317
315,1,135,-0.960058592,0.273462931,0.059207481
316,1,136,-0.937444071,0.343064253,-0.059207534
323,1,143,-0.882200773,0.467135085,-0.059216625
324,1,144,-0.914122605,0.400820051,0.06101762
333,1,153,-0.847917126,0.526454832,0.062304563
334,1,154,-0.807571751,0.586730254,-0.059795278
344,1,164,-0.71689203,0.694664798,-0.059216848
345,1,165,-0.762713652,0.64372821,0.062304702
354,1,174,-0.663686405,0.745518049,0.06101799
355,1,175,-0.6159643,0.785545924,-0.059207959
364,1,184,-0.503941418,0.861579856,-0.061018026
365,1,185,-0.556756365,0.828563072,0.05920799
374,1,194,-0.439135607,0.896467109,0.059216902
375,1,195,-0.376533644,0.924305428,-0.062304827
384,1,204,-0.238671736,0.969099539,-0.062304784
385,1,205,-0.308463289,0.949354998,0.059795386
394,1,214,-0.171660656,0.983374796,0.059216804
395,1,215,-0.098727867,0.993241975,-0.061017926
589,3,9,-0.036591272,-0.997574814,0.059207847
598,3,18,0.098727848,-0.993241977,0.061017926
599,3,19,0.036591265,-0.997574814,-0.059207847
601,3,21,0.171660656,-0.983374795,-0.059216814
602,3,22,0.2386717,-0.969099548,0.062304785
611,3,31,0.37653365,-0.924305426,0.062304822
612,3,32,0.308463276,-0.949355001,-0.059795396
618,3,38,0.439135607,-0.896467109,-0.059216907
619,3,39,0.503941418,-0.861579855,0.061018031
627,3,47,0.615964324,-0.785545905,0.059207958
628,3,48,0.556756391,-0.828563054,-0.059207988
636,3,56,0.663686368,-0.745518083,-0.061017973
637,3,57,0.716892067,-0.69466476,0.059216859
646,3,66,0.807571734,-0.586730277,0.059795283
647,3,67,0.762713652,-0.64372821,-0.062304702
656,3,76,0.847917159,-0.526454776,-0.06230458
657,3,77,0.882200805,-0.467135025,0.059216618
666,3,86,0.937444065,-0.343064268,0.059207539
667,3,87,0.914122606,-0.400820047,-0.061017626
676,3,96,0.960058597,-0.273462913,-0.059207481
677,3,97,0.975138435,-0.21303026,0.061017549
686,3,106,0.995422136,-0.072477191,0.06230431
687,3,107,0.988291518,-0.140617575,-0.059216317
697,3,117,0.998210688,-6.44E-09,-0.059794832
698,3,118,0.995422137,0.072477181,0.06230432
707,3,127,0.975138439,0.213030242,0.061017554
708,3,128,0.988291518,0.140617575,-0.059216317
715,3,135,0.960058592,0.273462931,-0.059207481
716,3,136,0.937444071,0.343064253,0.059207534
723,3,143,0.882200773,0.467135085,0.059216625
724,3,144,0.914122605,0.400820051,-0.06101762
733,3,153,0.847917126,0.526454832,-0.062304563
734,3,154,0.807571751,0.586730254,0.059795278
744,3,164,0.71689203,0.694664798,0.059216848
745,3,165,0.762713652,0.64372821,-0.062304702
754,3,174,0.663686405,0.745518049,-0.06101799
755,3,175,0.6159643,0.785545924,0.059207959
764,3,184,0.503941418,0.861579856,0.061018026
765,3,185,0.556756365,0.828563072,-0.05920799
774,3,194,0.439135607,0.896467109,-0.059216902
775,3,195,0.376533644,0.924305428,0.062304827
784,3,204,0.238671736,0.969099539,0.062304784
785,3,205,0.308463289,0.949354998,-0.059795386
794,3,214,0.171660656,0.983374796,-0.059216804
795,3,215,0.098727867,0.993241975,0.061017926
